model,auc,f1,recall,precision
Random Forest (Early Warning),0.8896989672019241,0.2806451612903226,0.759825327510917,0.172106824925816
XGBoost (Early Warning),0.891438838612778,0.3165714285714285,0.6048034934497817,0.2143962848297213
Logistic Regression (Early Warning),0.8832135948191573,0.20045673686881502,0.8624454148471615,0.11340798162503589
