district_id,district_name,chunk,centroid_lat,centroid_lon
76128533B75262864015847,Una,western,31.58008083196144,76.21121773100268
76128533B58569599021232,Solan,western,31.0446776000894,76.91030993305073
76128533B11802210119774,Sirmaur,western,30.665703560812386,77.43237797602359
76128533B50011981829203,Kinnaur,western,31.595221274202416,78.41359654418739
76128533B97425778881707,Kullu,western,31.90411949317298,77.40087262534246
76128533B58537895532859,Chamba,western,32.67672905465693,76.35389615587808
76128533B77537928419507,Shimla,western,31.196198729195146,77.63490924026863
76128533B85695392289827,Bilaspur,western,31.371932929907825,76.67287558405539
76128533B13697452453823,Kangra,western,32.10858506960067,76.31886467609664
76128533B75359793481950,Lahul & Spiti,western,32.48008549160276,77.61677717501567
76128533B23735146933631,Mandi,western,31.63813350180819,76.9937742397431
76128533B35956162202704,Hamirpur,western,31.66771718753646,76.52647974720786
76128533B2782141712775,DATA NOT AVAILABLE,western,35.56310297972471,74.92340907300947
76128533B6393836306469,Anantnag,western,33.80995025447227,75.33443836769628
76128533B15567489974292,Baramula,western,34.112970336345604,74.3356247385127
76128533B87327155385261,Kulgam,western,33.57816378158553,74.87492649712247
76128533B37825396764028,Shupiyan,western,33.70185113023985,74.8331359960682
76128533B50784044604286,Reasi,western,33.21989192346769,74.85135158816482
76128533B45655211862788,Rajouri,western,33.243938358747656,74.39195973029773
76128533B3371867518692,Jammu,western,32.78609464519577,74.74709202956355
76128533B57183548666997,Leh(Ladakh),western,34.33300174507458,78.42895247663914
76128533B32249045995424,Srinagar,western,34.08291857824645,74.91975833904357
76128533B48708628358161,Doda,western,33.09304751476982,75.71766211819454
76128533B74958462315105,Pulwama,western,33.91037847027651,75.03674826193206
76128533B92985585225784,Ramban,western,33.3158512459168,75.22022944408819
76128533B20504715877560,Ganderbal,western,34.26100074977342,75.02869014026622
76128533B31127900859310,Udhampur,western,32.89842869268145,75.28574504069374
76128533B88214376170788,Badgam,western,33.88005649660812,74.67981720554816
76128533B32998994032811,Punch,western,33.68121682505751,74.28974691296509
76128533B68195849750399,Kupwara,western,34.49333437880186,74.18911341584226
76128533B49429513424897,Samba,western,32.60823995642763,75.05975003624586
76128533B41744580856133,Bandipore,western,34.48621860149773,74.83635981653012
76128533B79652855441225,Kathua,western,32.57637354417372,75.57007093162898
76128533B47664895117076,Kargil,western,33.90849775238795,76.47080615753397
76128533B20458430922604,Kishtwar,western,33.549312044080274,75.96496327598541
76128533B49805675626253,Sahibganj,eastern,25.004365638457134,87.68674286960264
76128533B45381195840581,Pakur,eastern,24.56365952188785,87.6634512316411
76128533B65773363805797,Kishanganj,eastern,26.298408461442182,87.93362853083067
76128533B27432148084533,Katihar,eastern,25.546589951470853,87.64693242543171
76128533B23956636471502,Yamunanagar,western,30.23403041561968,77.30309898360412
76128533B71088079535368,Palwal,central,28.062882274406785,77.33726136543832
76128533B58876508630362,Panchkula,western,30.681297515435027,76.97703527736616
76128533B64596101949699,Kaithal,western,29.8121322509383,76.41705130373961
76128533B69536039643660,Sonipat,western,29.060229949049464,76.87832219630427
76128533B6330405394721,Karnal,western,29.6880015732663,76.89492593047436
76128533B94710820075529,Kurukshetra,western,30.039204674431,76.78505009823999
76128533B45106682783501,Jind,western,29.433639815338065,76.30787344755191
76128533B86048662040782,Panipat,western,29.333315544952644,76.92688347046071
76128533B10727492375508,Fatehabad,western,29.57590104577649,75.58061489407693
76128533B40638696154891,Faridabad,central,28.35113578058005,77.34514209230757
76128533B84837672903805,Sirsa,western,29.61461647922253,74.90136220911295
76128533B22732185131019,Hisar,western,29.215542804719565,75.81592685270395
76128533B95049353851516,Ambala,western,30.32473083864334,76.94237571348592
76128533B56050914259601,Chandigarh,western,30.726646702993673,76.78118659578455
76128533B6828791241172,Lohit,eastern,27.888617747738575,96.3146064111005
76128533B95764075909869,West Siang,eastern,28.258719920173185,94.6576064442921
76128533B84689409020934,Upper Subansiri,eastern,28.294007181613484,93.92528580602016
76128533B9558749744242,Changlang,eastern,27.3742158742465,96.35447328708541
76128533B22715430000002,Longding,eastern,26.864300567856976,95.31645031995123
76128533B90913053845537,Lower Subansiri,eastern,27.553510909293845,93.7707223337804
76128533B76129461078086,East Kameng,eastern,27.59369321279765,92.92565235423136
76128533B76058958071350,Upper Siang,eastern,28.820098156369184,94.92596610345466
