district,chunk,feature_time,time,rain_mean_10d,rain_total_10d,t2m,u10,v10,sp,tcwv,wind_speed,tcwv_3h,tcwv_6h,sp_drop_3h,t2m_grad,rain_mm,rain_3h
131,central,2026-04-17T05:00:00,2026-04-17 05:00:00,0.0,0.0,303.3800354003906,0.5393737554550171,0.693743884563446,91651.0703125,20.173450469970703,0.8787517427822426,19.897934595743816,19.127219518025715,157.546875,4.802093505859375,0.0,0.0
131,central,2026-04-17T06:00:00,2026-04-17 06:00:00,0.0,0.0,304.32672119140625,1.5490020513534546,0.754058837890625,91594.546875,20.49531936645508,1.7227919450990503,20.213520050048828,19.58302974700928,14.8828125,0.946685791015625,0.0,0.0
131,central,2026-04-17T07:00:00,2026-04-17 07:00:00,0.0,0.0,304.34765625,2.559967041015625,0.7740112543106079,91565.203125,20.905467987060547,2.67442043682099,20.52474594116211,20.01292546590169,-71.7578125,0.02093505859375,0.0,0.0
131,central,2026-04-17T08:00:00,2026-04-17 08:00:00,0.0,0.0,305.88531494140625,3.428829908370972,0.6014190912246704,91497.1875,21.25078773498535,3.481175011950534,20.88385836283366,20.39089647928873,-153.8828125,1.53765869140625,0.0,0.0
131,central,2026-04-17T09:00:00,2026-04-17 09:00:00,0.0,0.0,305.70263671875,3.6857330799102783,-0.3932525515556335,91409.171875,21.61005973815918,3.706652924897329,21.255438486735027,20.73447926839193,-185.375,-0.18267822265625,0.0,0.0
131,central,2026-04-17T10:00:00,2026-04-17 10:00:00,0.0,0.0,302.8653259277344,3.288238525390625,-1.2251555919647217,91309.8359375,21.92004776000977,3.50906238536529,21.59363174438477,21.05918884277344,-255.3671875,-2.837310791015625,0.0,0.0
131,central,2026-04-17T11:00:00,2026-04-17 11:00:00,0.0,0.0,303.101806640625,3.1647582054138184,-1.1988708972930908,91230.9375,22.00897216796875,3.384226045510322,21.846359888712566,21.36510912577312,-266.25,0.236480712890625,0.0,0.0
131,central,2026-04-17T12:00:00,2026-04-17 12:00:00,0.0,0.0,303.2938537597656,3.311532497406006,-0.6234039068222046,91272.1640625,23.061710357666016,3.369700270412377,22.330243428548176,21.7928409576416,-137.0078125,0.192047119140625,0.0,0.0
131,central,2026-04-17T13:00:00,2026-04-17 13:00:00,0.0,0.0,302.0682983398437,2.724356174468994,-1.381158471107483,91318.828125,23.24531936645508,3.0544582641901155,22.772000630696613,22.18281618754069,8.9921875,-1.2255554199219318,0.0,0.0
131,central,2026-04-17T14:00:00,2026-04-17 14:00:00,0.0,0.0,299.76861572265625,1.3343322277069092,-2.342260837554932,91334.7578125,22.69462776184082,2.6956684375198696,23.00055249532064,22.4234561920166,103.8203125,-2.299682617187443,0.0,0.0
131,central,2026-04-17T15:00:00,2026-04-17 15:00:00,0.0,0.0,296.9424743652344,0.124725341796875,-2.4069244861602783,91369.109375,22.282678604125977,2.4101539147872417,22.740875244140625,22.5355593363444,96.9453125,-2.826141357421875,0.0,0.0
131,central,2026-04-17T16:00:00,2026-04-17 16:00:00,0.0,0.0,297.39337158203125,-0.3274261355400085,-1.997686743736267,91392.171875,21.227001190185547,2.0243419178425057,22.06810251871745,22.42005157470703,73.34375,0.450897216796875,0.0,0.0
131,central,2026-04-17T17:00:00,2026-04-17 17:00:00,0.0,0.0,296.6499938964844,-0.589123547077179,-1.7702057361602783,91362.015625,20.53708267211914,1.8656620546217768,21.348920822143555,22.174736658732098,27.2578125,-0.743377685546875,0.0,0.0
131,central,2026-04-17T18:00:00,2026-04-17 18:00:00,0.0,0.0,296.6007385253906,-0.8342437744140625,-1.7431854009628296,91339.78125,20.01346969604492,1.932526330293733,20.592517852783203,21.66669654846192,-29.328125,-0.04925537109375,0.0,0.0
131,central,2026-04-17T19:00:00,2026-04-17 19:00:00,0.0,0.0,296.7688903808594,-0.9122314453125,-1.837731957435608,91319.4375,19.162900924682617,2.051688318726079,19.90448443094889,20.98629347483317,-72.734375,0.16815185546875,0.0,0.0
131,central,2026-04-17T20:00:00,2026-04-17 20:00:00,0.0,0.0,295.98272705078125,-0.8436371088027954,-1.8747742176055908,91273.2734375,18.16144752502441,2.055845796344608,19.112606048583984,20.23076343536377,-88.7421875,-0.786163330078125,0.0,0.0
131,central,2026-04-17T21:00:00,2026-04-17 21:00:00,0.0,0.0,295.7076110839844,-0.7998992800712585,-1.8124176263809204,91248.6640625,17.3016300201416,1.9810846803392248,18.208659489949543,19.40058867136637,-91.1171875,-0.275115966796875,0.0,0.0
131,central,2026-04-17T22:00:00,2026-04-17 22:00:00,0.0,0.0,292.8829650878906,-1.029870629310608,-1.8513641357421875,91203.234375,17.479244232177734,2.1185331425845204,17.647440592447918,18.775962511698403,-116.203125,-2.82464599609375,0.0,0.0
131,central,2026-04-17T23:00:00,2026-04-17 23:00:00,0.0,0.0,292.9125671386719,-1.0648711919784546,-1.9375213384628296,91199.140625,16.908966064453125,2.2108685154265526,17.229946772257488,18.17127641042073,-74.1328125,0.02960205078125,0.0,0.0
131,central,2026-04-18T00:00:00,2026-04-18 00:00:00,0.0,0.0,294.62945556640625,-1.0389312505722046,-1.9854888916015625,91234.7109375,16.785940170288086,2.2408802471548377,17.05805015563965,17.633354822794598,-13.953125,1.716888427734375,0.0,0.0
131,central,2026-04-18T01:00:00,2026-04-18 01:00:00,0.0,0.0,294.64227294921875,-1.211148023605347,-2.13934326171875,91287.0,16.674198150634766,2.458387505366995,16.789701461791992,17.218571027119953,83.765625,0.0128173828125,0.0,0.0
131,central,2026-04-18T02:00:00,2026-04-18 02:00:00,0.0,0.0,298.4458312988281,-1.2117736339569092,-1.9704163074493408,91295.9140625,16.01864242553711,2.3132089755608827,16.492926915486652,16.86143684387207,96.7734375,3.803558349609375,0.0,0.0
131,central,2026-04-18T03:00:00,2026-04-18 03:00:00,0.0,0.0,300.1817932128906,-0.3337677121162414,-0.9430511593818665,91372.3671875,16.018795013427734,1.0003731178229414,16.23721186319987,16.647631009419758,137.65625,1.7359619140625,0.0,0.0
131,central,2026-04-18T04:00:00,2026-04-18 04:00:00,0.0,0.0,300.1289978027344,1.168429613113403,-0.1877075135707855,91415.265625,16.892290115356445,1.1834111168360992,16.309909184773762,16.54980532328288,128.265625,-0.05279541015625,0.0,0.0
131,central,2026-04-18T05:00:00,2026-04-18 05:00:00,0.0,0.0,304.8946838378906,2.604788303375244,-0.3122833371162414,91428.3984375,17.36261558532715,2.623441058617658,16.75790023803711,16.625413576761883,132.484375,4.76568603515625,0.0,0.0
131,central,2026-04-18T06:00:00,2026-04-18 06:00:00,0.0,0.0,305.6805725097656,3.544360399246216,-0.848614513874054,91405.3984375,17.351760864257812,3.6445352560926736,17.2022221883138,16.719717025756836,33.03125,0.785888671875,0.0,0.0
131,central,2026-04-18T07:00:00,2026-04-18 07:00:00,0.0,0.0,305.7939453125,4.054238796234131,-1.048123121261597,91322.6171875,16.685163497924805,4.187530811135976,17.133179982503254,16.721544583638508,-92.6484375,0.113372802734375,0.0,0.0
131,central,2026-04-18T08:00:00,2026-04-18 08:00:00,0.0,0.0,308.0404357910156,4.534796237945557,-0.9126617312431335,91268.359375,16.20623779296875,4.625724630299656,16.74772071838379,16.75281047821045,-160.0390625,2.246490478515625,0.0,0.0
131,central,2026-04-18T09:00:00,2026-04-18 09:00:00,0.0,0.0,308.1692810058594,4.888186454772949,-0.538104236125946,91160.734375,16.345491409301758,4.917715220055186,16.41229756673177,16.807259877522785,-244.6640625,0.12884521484375,0.0,0.0
131,central,2026-04-18T10:00:00,2026-04-18 10:00:00,0.0,0.0,306.24615478515625,4.899102687835693,-1.1994537115097046,91205.234375,14.793638229370115,5.043797810381907,15.781789143880204,16.45748456319173,-117.3828125,-1.923126220703125,0.0,0.0
131,central,2026-04-18T11:00:00,2026-04-18 11:00:00,0.0,0.0,306.0502319335937,4.463326930999756,-0.271075427532196,91094.1875,14.168212890625,4.471551093345514,15.102447509765623,15.925084114074709,-174.171875,-0.1959228515625568,0.0,0.0
131,central,2026-04-18T12:00:00,2026-04-18 12:00:00,0.0,0.0,305.69384765625,3.369790554046631,0.2800354063510895,91072.359375,13.84272575378418,3.381406246955861,14.268192291259766,15.340244928995768,-88.375,-0.3563842773436931,0.0,0.0
131,central,2026-04-18T13:00:00,2026-04-18 13:00:00,0.0,0.0,304.6995544433594,2.46038818359375,-0.1118011474609375,91090.9140625,13.6375150680542,2.462927020953186,13.88281790415446,14.832303524017334,-114.3203125,-0.994293212890625,0.0,0.0
131,central,2026-04-18T14:00:00,2026-04-18 14:00:00,0.0,0.0,301.1983337402344,1.6436004638671875,-1.2042114734649658,91136.78125,13.404157638549805,2.037534725507543,13.628132820129396,14.36529016494751,42.59375,-3.501220703125,0.0,0.0
131,central,2026-04-18T15:00:00,2026-04-18 15:00:00,0.0,0.0,298.2135314941406,0.9446808099746704,-1.9319794178009035,91194.859375,14.00657081604004,2.150573482478736,13.682747840881348,13.975470066070557,122.5,-2.98480224609375,0.0,0.0
131,central,2026-04-18T16:00:00,2026-04-18 16:00:00,0.0,0.0,297.5912475585937,0.372973620891571,-2.150045871734619,91242.828125,15.205212593078612,2.182156404212138,14.205313682556152,14.044065793355308,151.9140625,-0.6222839355469318,0.0,0.0
131,central,2026-04-18T17:00:00,2026-04-18 17:00:00,0.0,0.0,295.5542907714844,0.2877441346645355,-2.3499114513397217,91278.703125,16.228294372558594,2.367462885912132,15.146692593892416,14.387412707010904,141.921875,-2.036956787109318,0.0,0.0
131,central,2026-04-18T18:00:00,2026-04-18 18:00:00,0.0,0.0,295.8842163085937,0.1665832549333572,-2.507476806640625,91273.953125,16.88926124572754,2.5130041616887264,16.10758940378825,14.8951686223348,79.09375,0.3299255371093181,0.0,0.0
131,central,2026-04-18T19:00:00,2026-04-18 19:00:00,0.0,0.0,295.8705139160156,-0.247589111328125,-2.391186475753784,91218.9375,16.027782440185547,2.403970284732333,16.381779352823894,15.293546517690023,-23.890625,-0.0137023925780681,0.0,0.0
131,central,2026-04-18T20:00:00,2026-04-18 20:00:00,0.0,0.0,294.7152404785156,-0.612164318561554,-2.161972045898437,91164.390625,14.869367599487305,2.246968686957209,15.92880376180013,15.537748177846272,-114.3125,-1.1552734375,0.0,0.0
131,central,2026-04-18T21:00:00,2026-04-18 21:00:00,0.0,0.0,294.54547119140625,-0.9327911138534546,-2.2431793212890625,91093.2109375,14.210047721862791,2.429393490059366,15.035732587178549,15.571660995483398,-180.7421875,-0.169769287109375,0.0,0.0
131,central,2026-04-18T22:00:00,2026-04-18 22:00:00,0.0,0.0,293.2681884765625,-0.8790527582168579,-2.196938991546631,91063.328125,13.378988265991213,2.366278657366159,14.152801195780436,15.267290274302164,-155.609375,-1.27728271484375,0.0,0.0
131,central,2026-04-18T23:00:00,2026-04-18 23:00:00,0.0,0.0,293.017333984375,-0.9950714111328124,-2.2781524658203125,91076.1953125,13.03887176513672,2.485989897561335,13.542635917663574,14.735719839731852,-88.1953125,-0.2508544921875,0.0,0.0
131,central,2026-04-19T00:00:00,2026-04-19 00:00:00,0.0,0.0,294.13885498046875,-1.102941870689392,-2.288671970367432,91081.5,12.610895156860352,2.5405708331131724,13.00958506266276,14.022658824920654,-11.7109375,1.12152099609375,0.0,0.0
131,central,2026-04-19T01:00:00,2026-04-19 01:00:00,0.0,0.0,294.2391357421875,-1.190707445144653,-2.222763061523437,91110.90625,12.063299179077148,2.521598669018516,12.571022033691406,13.361911614735922,47.578125,0.10028076171875,0.0,0.0
131,central,2026-04-19T02:00:00,2026-04-19 02:00:00,0.0,0.0,298.4042358398437,-1.0901916027069092,-2.135201930999756,91142.171875,11.693466186523438,2.3974163211169115,12.12255350748698,12.832594712575276,65.9765625,4.165100097656193,0.0,0.0
131,central,2026-04-19T03:00:00,2026-04-19 03:00:00,0.0,0.0,301.4859313964844,-0.4008606076240539,-1.1706664562225342,91233.234375,11.737060546875,1.2373961283555692,11.83127530415853,12.420430183410645,151.734375,3.081695556640682,0.0,0.0
131,central,2026-04-19T04:00:00,2026-04-19 04:00:00,0.0,0.0,302.0310974121094,0.9100341796875,-0.2939697206020355,91241.90625,12.14927101135254,0.9563369724267382,11.859932581583658,12.215477307637531,131.0,0.545166015625,0.0,0.0
131,central,2026-04-19T05:00:00,2026-04-19 05:00:00,0.0,0.0,305.92041015625,2.401171922683716,0.2066986113786697,91289.734375,12.805700302124023,2.410052057161937,12.230677286783854,12.176615397135416,147.5625,3.889312744140625,0.0,0.0
131,central,2026-04-19T06:00:00,2026-04-19 06:00:00,0.0,0.0,306.9600524902344,3.3409759998321533,0.3348937928676605,91276.875,13.317445755004885,3.357718642762633,12.757472356160484,12.294373830159506,43.640625,1.039642333984375,0.0,0.0
131,central,2026-04-19T07:00:00,2026-04-19 07:00:00,0.0,0.0,306.78936767578125,4.0099945068359375,0.3184753358364105,91227.890625,13.378819465637209,4.022621344893216,13.167321840922035,12.513627211252848,-14.015625,-0.170684814453125,0.0,0.0
131,central,2026-04-19T08:00:00,2026-04-19 08:00:00,0.0,0.0,307.85601806640625,4.280325412750244,0.12347412109375,91209.0546875,13.09617042541504,4.28210596524834,13.26414521535238,12.747411251068115,-80.6796875,1.066650390625,0.0,0.0
131,central,2026-04-19T09:00:00,2026-04-19 09:00:00,0.0,0.0,308.1954040527344,4.0012969970703125,-0.26947021484375,91114.953125,12.083967208862305,4.01036056426998,12.85298569997152,12.805229028066002,-161.921875,0.339385986328125,0.0,0.0
131,central,2026-04-19T10:00:00,2026-04-19 10:00:00,0.0,0.0,306.4970703125,3.657293796539306,-0.3494384884834289,91010.3203125,9.589617729187012,3.673949533055466,11.58991845448812,12.37862014770508,-217.5703125,-1.698333740234375,0.0,0.0
131,central,2026-04-19T11:00:00,2026-04-19 11:00:00,0.0,0.0,306.08843994140625,3.614401340484619,0.2083923369646072,90967.8515625,10.6922025680542,3.6204039023571086,10.788595835367838,12.02637052536011,-241.203125,-0.40863037109375,0.0,0.0
131,central,2026-04-19T12:00:00,2026-04-19 12:00:00,0.0,0.0,305.7078552246094,2.971533298492432,1.0585296154022217,90992.0703125,12.729618072509766,3.1544405352982783,11.003812789916992,11.928399244944254,-122.8828125,-0.380584716796875,0.0,0.0
131,central,2026-04-19T13:00:00,2026-04-19 13:00:00,0.0,0.0,304.24169921875,2.713238477706909,0.506091296672821,91067.2265625,15.581387519836426,2.7600346804845195,13.00106938680013,12.295493920644123,56.90625,-1.466156005859375,0.0,0.0
131,central,2026-04-19T14:00:00,2026-04-19 14:00:00,0.0,0.0,301.05499267578125,2.2962188720703125,-1.271948218345642,91114.4140625,15.245912551879885,2.6249711195753203,14.518972714742024,12.653784275054932,146.5625,-3.18670654296875,0.0,0.0
131,central,2026-04-19T15:00:00,2026-04-19 15:00:00,0.0,0.0,299.3677673339844,1.1719207763671875,-1.938751220703125,91153.4921875,14.44008445739746,2.2654259206292595,15.089128176371256,13.046470483144123,161.421875,-1.687225341796875,0.0,0.0
131,central,2026-04-19T16:00:00,2026-04-19 16:00:00,0.0,0.0,298.00640869140625,-0.0552032478153705,-2.077197313308716,91165.34375,14.264938354492188,2.0779307199679,14.650311787923178,13.825690587361654,98.1171875,-1.361358642578125,0.0,0.0
131,central,2026-04-19T17:00:00,2026-04-19 17:00:00,0.0,0.0,295.6524353027344,-0.3484832644462585,-1.6152496337890625,91147.2890625,14.599169731140137,1.652413981136332,14.434730847676596,14.47685178120931,32.875,-2.353973388671875,0.0,0.0
131,central,2026-04-19T18:00:00,2026-04-19 18:00:00,0.0,0.0,295.3231506347656,-0.3698883056640625,-1.4925110340118408,91120.5234375,14.90229320526123,1.5376626890557386,14.588800430297852,14.838964303334556,-32.96875,-0.32928466796875,0.0,0.0
131,central,2026-04-19T19:00:00,2026-04-19 19:00:00,0.0,0.0,295.1576232910156,-0.4870330691337585,-1.5511932373046875,91104.484375,15.16082000732422,1.6258541354899108,14.88742764790853,14.768869717915852,-60.859375,-0.16552734375,0.0,0.0
131,central,2026-04-19T20:00:00,2026-04-19 20:00:00,0.0,0.0,294.1619567871094,-0.7201141119003296,-1.688876390457153,91054.6484375,15.196850776672363,1.8359923192654108,15.086654663085938,14.760692755381266,-92.640625,-0.99566650390625,0.0,0.0
131,central,2026-04-19T21:00:00,2026-04-19 21:00:00,0.0,0.0,293.96295166015625,-0.78338623046875,-1.7073822021484375,91006.828125,14.996047973632812,1.8785228160182896,15.117906252543133,14.853353341420492,-113.6953125,-0.199005126953125,0.0,0.0
131,central,2026-04-19T22:00:00,2026-04-19 22:00:00,0.0,0.0,292.235595703125,-0.9554473757743835,-1.779022216796875,91024.5625,15.087234497070312,2.0193562676583405,15.093377749125162,14.990402698516846,-79.921875,-1.72735595703125,0.0,0.0
131,central,2026-04-19T23:00:00,2026-04-19 23:00:00,0.0,0.0,292.28228759765625,-0.9545745849609376,-1.8688812255859373,90992.8125,14.668971061706545,2.0985541864819552,14.917417844136557,15.002036253611246,-61.8359375,0.04669189453125,0.0,0.0
131,central,2026-04-20T00:00:00,2026-04-20 00:00:00,0.0,0.0,294.1280517578125,-0.9716949462890624,-2.008990526199341,91005.0546875,14.432798385620115,2.231643789452611,14.729667981465658,14.923787117004396,-1.7734375,1.84576416015625,0.0,0.0
131,central,2026-04-20T01:00:00,2026-04-20 01:00:00,0.0,0.0,294.1529235839844,-1.06512451171875,-2.100198268890381,91080.4296875,14.171359062194824,2.354850949447599,14.424376169840494,14.758876959482828,55.8671875,0.024871826171875,0.0,0.0
131,central,2026-04-20T02:00:00,2026-04-20 02:00:00,0.0,0.0,298.95330810546875,-1.0120422840118408,-1.947625756263733,91139.90625,13.52484893798828,2.194874864562848,14.043002128601074,14.480209986368816,147.09375,4.800384521484375,0.0,0.0
131,central,2026-04-20T03:00:00,2026-04-20 03:00:00,0.0,0.0,301.0633850097656,-0.265951544046402,-1.12884521484375,91181.8359375,12.860241889953612,1.159750724447412,13.518816630045572,14.124242305755615,176.78125,2.110076904296875,0.0,0.0
131,central,2026-04-20T04:00:00,2026-04-20 04:00:00,0.0,0.0,301.2721252441406,1.1255919933319092,-0.5201690793037415,91202.03125,12.615592002868652,1.2399730668512936,13.000227610270182,13.712301890055338,121.6015625,0.208740234375,0.0,0.0
131,central,2026-04-20T05:00:00,2026-04-20 05:00:00,0.0,0.0,305.03515625,2.6282958984375,-0.3558014035224914,91235.109375,12.760818481445312,2.652269588200257,12.745550791422524,13.3942764600118,95.203125,3.763031005859375,0.0,0.0
131,central,2026-04-20T06:00:00,2026-04-20 06:00:00,0.0,0.0,306.23797607421875,3.420095920562744,-0.0946716293692588,91213.375,12.786152839660645,3.421405971710658,12.72085444132487,13.11983553568522,31.5390625,1.20281982421875,0.0,0.0
131,central,2026-04-20T07:00:00,2026-04-20 07:00:00,0.0,0.0,306.0314025878906,4.109036445617676,0.1618804931640625,91175.046875,12.553940773010254,4.1122239488482855,12.70030403137207,12.850265820821129,-26.984375,-0.206573486328125,0.0,0.0
131,central,2026-04-20T08:00:00,2026-04-20 08:00:00,0.0,0.0,307.8309020996094,4.734786987304688,0.0648681670427322,91103.234375,12.361861228942873,4.735231324259174,12.567318280537924,12.656434535980225,-131.875,1.79949951171875,0.0,0.0
131,central,2026-04-20T09:00:00,2026-04-20 09:00:00,0.0,0.0,307.71844482421875,5.146639823913574,-0.0900115966796875,91005.703125,12.491250038146973,5.147426887740124,12.469017346700031,12.594935894012451,-207.671875,-0.112457275390625,0.0,0.0
131,central,2026-04-20T10:00:00,2026-04-20 10:00:00,0.0,0.0,305.121337890625,4.495660305023193,-0.0103973392397165,90974.734375,11.66455364227295,4.495672328231285,12.172554969787598,12.436429500579834,-200.3125,-2.59710693359375,0.0,0.0
131,central,2026-04-20T11:00:00,2026-04-20 11:00:00,0.0,0.0,305.13885498046875,4.199252128601074,-0.0446441657841205,90896.78125,12.19272804260254,4.199489438145929,12.116177241007486,12.341747760772703,-206.453125,0.01751708984375,0.0,0.0
131,central,2026-04-20T12:00:00,2026-04-20 12:00:00,0.0,0.0,305.01544189453125,3.2027649879455566,-0.0232879631221294,90926.203125,12.20219898223877,3.202849652611917,12.019826889038086,12.24442211786906,-79.5,-0.1234130859375,0.0,0.0
131,central,2026-04-20T13:00:00,2026-04-20 13:00:00,0.0,0.0,304.0679626464844,2.249096632003784,-0.4070495665073395,90951.234375,12.110424041748049,2.285634487332692,12.168450355529789,12.170502662658691,-23.5,-0.947479248046875,0.0,0.0
131,central,2026-04-20T14:00:00,2026-04-20 14:00:00,0.0,0.0,300.5865783691406,1.824942827224732,-1.093878149986267,90992.109375,12.273486137390137,2.1276714336702405,12.195369720458984,12.155773480733236,95.328125,-3.48138427734375,0.0,0.0
131,central,2026-04-20T15:00:00,2026-04-20 15:00:00,0.0,0.0,299.05157470703125,1.0550060272216797,-2.023324489593506,91053.7734375,12.291845321655272,2.281858827285968,12.225251833597818,12.122539361317951,127.5703125,-1.535003662109375,0.0,0.0
131,central,2026-04-20T16:00:00,2026-04-20 16:00:00,0.0,0.0,298.4397888183594,0.1893279999494552,-2.095358371734619,91072.8125,11.786043167114258,2.1038944359361795,12.117124875386557,12.14278761545817,121.578125,-0.611785888671875,0.0,0.0
131,central,2026-04-20T17:00:00,2026-04-20 17:00:00,0.0,0.0,295.31964111328125,-0.1503723114728927,-1.987463355064392,91055.265625,11.228131294250488,1.9931438532583416,11.768673261006674,11.982021490732828,63.15625,-3.120147705078125,0.0,0.0
131,central,2026-04-20T18:00:00,2026-04-20 18:00:00,0.0,0.0,295.509521484375,-0.2341339141130447,-1.828363060951233,91075.9140625,10.95268440246582,1.8432932952704129,11.322286287943522,11.77376906077067,22.140625,0.18988037109375,0.0,0.0
131,central,2026-04-20T19:00:00,2026-04-20 19:00:00,0.0,0.0,295.0984802246094,-0.2611114382743835,-1.6368011236190796,91037.625,10.707486152648926,1.6574972402626795,10.962767283121744,11.53994607925415,-35.1875,-0.411041259765625,0.0,0.0
131,central,2026-04-20T20:00:00,2026-04-20 20:00:00,0.0,0.0,293.23504638671875,-0.399789422750473,-1.6753143072128296,91019.671875,10.423489570617676,1.722355831556058,10.69455337524414,11.231613318125406,-35.59375,-1.863433837890625,0.0,0.0
131,central,2026-04-20T21:00:00,2026-04-20 21:00:00,0.0,0.0,292.78912353515625,-0.405709832906723,-1.6488831043243408,90980.328125,10.319974899291992,1.6980624135300435,10.483650207519531,10.902968247731527,-95.5859375,-0.4459228515625,0.0,0.0
131,central,2026-04-20T22:00:00,2026-04-20 22:00:00,0.0,0.0,290.5009155273437,-0.2880981564521789,-1.33428955078125,90935.640625,11.544278144836426,1.3650381507764442,10.762580871582031,10.862674077351889,-101.984375,-2.288208007812557,0.0,0.0
131,central,2026-04-20T23:00:00,2026-04-20 23:00:00,0.0,0.0,290.77069091796875,-0.6396484375,-1.5709259510040283,90956.734375,11.357996940612791,1.696159917912843,11.07408332824707,10.884318351745604,-62.9375,0.2697753906250568,0.0,0.0
131,central,2026-04-21T00:00:00,2026-04-21 00:00:00,0.0,0.0,291.6766357421875,-0.7696624994277954,-1.6737091541290283,90927.0234375,10.999255180358888,1.842195075349174,11.3005100886027,10.892080148061115,-53.3046875,0.90594482421875,0.0,0.0
131,central,2026-04-21T01:00:00,2026-04-21 01:00:00,0.0,0.0,292.65740966796875,-0.8058410882949829,-1.7646484375,90966.046875,11.1734619140625,1.939939165941972,11.176904678344728,10.96974277496338,30.40625,0.98077392578125,0.0,0.0
131,central,2026-04-21T02:00:00,2026-04-21 02:00:00,0.0,0.0,297.4199523925781,-0.7756500244140625,-1.653314232826233,91035.578125,11.660245895385742,1.8262203899965992,11.277654329935707,11.17586882909139,78.84375,4.762542724609375,0.0,0.0
131,central,2026-04-21T03:00:00,2026-04-21 03:00:00,0.0,0.0,299.135498046875,-0.019012451171875,-0.8586761355400085,91078.8125,12.11844539642334,0.8588865926567291,11.650717735290527,11.475613911946615,151.7890625,1.715545654296875,0.0,0.0
131,central,2026-04-21T04:00:00,2026-04-21 04:00:00,0.0,0.0,299.6883850097656,0.8573364019393921,-0.1098754853010177,91102.8984375,12.753942489624023,0.8643484993684648,12.177544593811035,11.67722463607788,136.8515625,0.552886962890625,0.0,0.0
131,central,2026-04-21T05:00:00,2026-04-21 05:00:00,0.0,0.0,303.98858642578125,2.070272922515869,0.3379791378974914,91121.7734375,13.54957103729248,2.097679639829764,12.80731964111328,12.042486985524496,86.1953125,4.300201416015625,0.0,0.0
